time,equity,capital,dd,trades,wr
2026-08-23T05:16:51.809960,100855.46,100855.46,0.0039,130,55.4
2026-08-23T05:17:53.250836,100855.46,100855.46,0.0040,130,55.4
2026-08-23T05:18:54.793522,100855.46,100855.46,0.0038,130,55.4
2026-08-23T05:19:56.138674,100855.46,100855.46,0.0037,130,55.4
2026-08-23T05:20:57.368196,100855.46,100855.46,0.0036,130,55.4
2026-08-23T05:21:58.608667,100855.46,100855.46,0.0036,130,55.4
2026-08-23T05:22:59.943809,100855.46,100855.46,0.0036,130,55.4
2026-08-23T05:24:01.162467,100855.46,100855.46,0.0035,130,55.4
2026-08-23T05:25:02.420870,100855.46,100855.46,0.0035,130,55.4
2026-08-23T05:26:03.651959,100855.46,100855.46,0.0035,130,55.4
2026-08-23T05:27:04.990065,100855.46,100855.46,0.0035,130,55.4
2026-08-23T05:28:06.231149,100855.46,100855.46,0.0035,130,55.4
2026-08-23T05:29:10.141723,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:20:13.673256,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:21:14.910652,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:22:16.144972,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:23:17.380470,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:24:18.720143,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:25:19.955653,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:26:22.216132,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:27:24.346252,100795.88,100795.88,0.0036,132,54.5
2026-08-23T06:28:26.484364,100795.88,100795.88,0.0036,132,54.5
2026-08-23T06:29:27.768304,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:30:29.412047,100795.88,100795.88,0.0034,132,54.5
2026-08-23T06:31:30.494240,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:32:32.603161,100795.88,100795.88,0.0034,132,54.5
2026-08-23T06:33:33.942197,100795.88,100795.88,0.0034,132,54.5
2026-08-23T06:34:35.180839,100795.88,100795.88,0.0034,132,54.5
2026-08-23T06:35:36.418903,100795.88,100795.88,0.0034,132,54.5
2026-08-23T06:36:37.858151,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:37:39.049373,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:38:40.326455,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:39:41.503295,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:40:42.803665,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:41:44.548969,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:42:45.835532,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:43:47.017725,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:44:48.359297,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:45:49.702452,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:46:50.931985,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:47:52.164753,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:48:53.508267,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:49:54.950249,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:50:56.159995,100795.88,100795.88,0.0035,132,54.5
2026-08-23T06:51:57.422414,100795.88,100795.88,0.0035,132,54.5
