time,equity,capital,dd,trades,wr
2026-08-19T02:20:17.904163,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:21:19.141488,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:22:20.376004,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:23:21.612090,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:24:22.801275,100000.00,100000.00,0.0003,0,0.0
2026-08-19T02:25:24.084609,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:26:25.321106,100000.00,100000.00,0.0003,0,0.0
2026-08-19T02:27:26.491218,100000.00,100000.00,0.0003,0,0.0
2026-08-19T02:28:27.688182,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:29:28.912025,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:30:30.164685,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:31:31.362108,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:32:32.592551,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:33:33.875490,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:34:35.106524,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:35:36.282881,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:36:37.681438,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:37:38.915574,100000.00,100000.00,0.0003,0,0.0
2026-08-19T02:38:40.144459,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:39:41.390440,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:40:42.625917,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:41:43.964326,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:42:45.198732,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:43:46.436763,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:44:47.635581,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:45:48.911913,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:46:50.134429,100000.00,100000.00,0.0003,0,0.0
2026-08-19T02:47:51.323231,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:48:52.564797,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:49:53.751641,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:50:55.005511,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:51:56.224476,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:52:57.474998,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:53:58.695991,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:54:59.917638,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:56:01.168411,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:57:02.366214,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:58:03.640543,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:59:04.957020,100000.00,100000.00,0.0004,0,0.0
2026-08-19T03:00:06.317728,100000.00,100000.00,0.0004,0,0.0
2026-08-19T03:01:07.528626,100000.00,100000.00,0.0004,0,0.0
2026-08-19T03:02:08.994602,100000.00,100000.00,0.0004,0,0.0
2026-08-19T03:03:10.229923,100000.00,100000.00,0.0004,0,0.0
2026-08-19T03:04:11.467800,100000.00,100000.00,0.0004,0,0.0
2026-08-19T03:05:12.677132,100000.00,100000.00,0.0004,0,0.0
2026-08-19T03:06:13.836151,100000.00,100000.00,0.0004,0,0.0
2026-08-19T03:07:15.069508,100000.00,100000.00,0.0004,0,0.0
2026-08-19T03:08:16.308212,100000.00,100000.00,0.0004,0,0.0
2026-08-19T03:09:17.544539,100000.00,100000.00,0.0004,0,0.0
2026-08-19T03:10:18.717971,100000.00,100000.00,0.0004,0,0.0
2026-08-19T03:11:19.914346,100000.00,100000.00,0.0005,0,0.0
2026-08-19T03:12:21.150310,100000.00,100000.00,0.0004,0,0.0
2026-08-19T03:13:22.386972,100000.00,100000.00,0.0004,0,0.0
2026-08-19T03:14:23.622748,100000.00,100000.00,0.0004,0,0.0
2026-08-19T03:15:24.859168,100000.00,100000.00,0.0003,0,0.0
2026-08-19T03:16:26.093052,100000.00,100000.00,0.0003,0,0.0
2026-08-19T03:17:27.331324,100000.00,100000.00,0.0003,0,0.0
2026-08-19T03:18:28.567086,100000.00,100000.00,0.0003,0,0.0
2026-08-19T03:19:29.803275,100000.00,100000.00,0.0003,0,0.0
2026-08-19T03:20:31.039516,100000.00,100000.00,0.0003,0,0.0
2026-08-19T03:21:32.480968,100000.00,100000.00,0.0003,0,0.0
2026-08-19T03:22:33.713761,100000.00,100000.00,0.0003,0,0.0
2026-08-19T03:23:34.952975,100000.00,100000.00,0.0003,0,0.0
2026-08-19T03:24:36.188436,100000.00,100000.00,0.0003,0,0.0
2026-08-19T03:25:37.422667,100000.00,100000.00,0.0003,0,0.0
2026-08-19T03:26:38.660924,100000.00,100000.00,0.0003,0,0.0
2026-08-19T03:27:39.894932,100000.00,100000.00,0.0003,0,0.0
2026-08-19T03:28:41.015233,100000.00,100000.00,0.0003,0,0.0
2026-08-19T03:29:42.266919,100000.00,100000.00,0.0003,0,0.0
2026-08-19T03:30:43.502754,100000.00,100000.00,0.0003,0,0.0
2026-08-19T03:31:44.841290,100000.00,100000.00,0.0003,0,0.0
2026-08-19T03:32:46.074374,100000.00,100000.00,0.0003,0,0.0
2026-08-19T03:33:47.252195,100000.00,100000.00,0.0003,0,0.0
2026-08-19T03:34:48.549737,100000.00,100000.00,0.0004,0,0.0
2026-08-19T03:35:49.787210,100000.00,100000.00,0.0004,0,0.0
2026-08-19T03:36:51.032566,100000.00,100000.00,0.0004,0,0.0
2026-08-19T03:37:52.258310,100000.00,100000.00,0.0004,0,0.0
